Chat_id,User_id1,User_id2,Message_ID,Date_début,Date_fin
65,140327I,542114F,35312,18/05/2024 08:09:35,18/05/2024 08:19:59
255,063221F,441305E,45132,27/01/2024 07:26:11,27/01/2024 07:34:04
439,573576E,132266F,55510,20/01/2024 09:27:13,20/01/2024 09:31:10
667,276364G,457577F,51243,25/08/2024 14:11:54,25/08/2024 14:13:39
638,574345F,072621G,52413,03/05/2024 20:50:27,03/05/2024 20:58:24
55,303435F,461657E,45010,19/01/2024 14:05:13,19/01/2024 14:07:11
463,554002G,744150F,41122,04/05/2024 09:44:07,04/05/2024 09:48:56
69,352346I,764317F,3045,21/05/2024 19:05:17,21/05/2024 19:12:09
545,163705I,733054F,43213,30/12/2024 17:05:20,30/12/2024 17:15:07
619,400160G,376565F,55242,19/02/2024 07:34:00,19/02/2024 07:44:21
404,547465E,533642F,3341,15/01/2024 14:24:37,15/01/2024 14:31:03
464,503040E,557503F,11315,28/12/2024 08:50:54,28/12/2024 08:52:08
15,606175E,144711F,45523,26/09/2024 14:28:12,26/09/2024 14:37:11
772,331731G,331226F,20452,25/01/2024 07:44:06,25/01/2024 07:51:52
235,521444G,471505F,12344,05/04/2024 17:06:21,05/04/2024 17:16:41
128,660066G,311260F,22022,06/05/2024 02:03:44,06/05/2024 02:07:11
177,524447I,417270F,44004,02/10/2024 17:10:44,02/10/2024 17:16:29
877,171022G,253236F,55005,04/11/2024 06:30:42,04/11/2024 06:39:53
472,332255G,121401F,14214,22/04/2024 03:49:30,22/04/2024 03:54:03
117,364007E,207424F,14105,01/07/2024 14:23:02,01/07/2024 14:26:15
446,231155I,055643F,35400,13/05/2024 05:28:21,13/05/2024 05:31:51
948,015377I,077005F,13322,22/08/2024 23:54:08,22/08/2024 23:55:39
656,461657E,417270F,25251,12/02/2024 01:59:30,12/02/2024 02:05:52
794,000304F,113725I,31553,27/04/2024 20:20:13,27/04/2024 20:27:00
603,154405G,500261F,53433,27/05/2024 04:53:17,27/05/2024 04:58:09
451,645260I,435755F,40155,13/06/2024 13:25:13,13/06/2024 13:27:32
999,241005F,473761I,33114,17/05/2024 12:16:36,17/05/2024 12:25:50
89,312775G,347234F,52101,06/04/2024 20:59:00,06/04/2024 21:05:48
924,451041G,373763F,15203,01/10/2024 20:55:07,01/10/2024 20:58:39
465,321053G,534544F,43500,16/12/2024 23:58:17,17/12/2024 00:03:08
752,246042I,761407F,32341,17/12/2024 23:55:36,17/12/2024 23:59:59
497,272467E,626757F,15545,16/09/2024 11:07:39,16/09/2024 11:11:04
855,464352E,331226F,23210,12/08/2024 17:50:57,12/08/2024 17:56:20
103,363507I,374736F,51303,14/05/2024 01:03:49,14/05/2024 01:10:51
563,173363F,654255E,1153,22/05/2024 20:29:21,22/05/2024 20:36:33
929,665021E,401343F,55032,13/10/2024 03:10:34,13/10/2024 03:11:45
491,662144I,756006F,32120,08/03/2024 12:24:48,08/03/2024 12:31:42
910,434632E,462356F,32435,17/12/2024 02:21:03,17/12/2024 02:28:28
369,472026G,450070F,5342,17/11/2024 04:30:05,17/11/2024 04:39:16
272,130702E,367305F,2154,03/02/2024 00:25:59,03/02/2024 00:36:47
786,113725I,002763F,15555,01/01/2024 22:30:34,01/01/2024 22:39:52
123,670441F,153371G,23050,07/12/2024 06:22:24,07/12/2024 06:25:54
274,671005E,635371F,20351,16/09/2024 17:36:57,16/09/2024 17:42:35
61,051652E,764317F,31451,08/04/2024 04:01:59,08/04/2024 04:12:41
18,021263E,604016F,25241,08/01/2024 09:38:15,08/01/2024 09:39:16
494,530144E,101414F,10145,28/05/2024 20:35:25,28/05/2024 20:38:49
618,375060I,761407F,53552,12/09/2024 17:15:28,12/09/2024 17:22:49
364,071131G,160265F,41145,11/12/2024 00:01:43,11/12/2024 00:07:29
174,576075F,636761G,25442,12/04/2024 05:53:29,12/04/2024 05:54:39
591,645673E,273176F,25002,26/12/2024 08:51:55,26/12/2024 09:01:20
317,367305F,064336E,55152,06/02/2024 02:56:47,06/02/2024 02:59:35
429,730707I,242332F,54220,16/03/2024 23:09:20,16/03/2024 23:12:11
233,243354F,735634I,45401,10/03/2024 22:18:13,10/03/2024 22:21:36
665,663234E,331612F,11455,21/10/2024 17:51:57,21/10/2024 18:01:51
193,564326G,771576F,43542,09/11/2024 21:47:38,09/11/2024 21:50:43
994,304557F,602613E,2104,15/02/2024 06:56:12,15/02/2024 07:05:39
720,107657E,401343F,33125,11/12/2024 03:53:04,11/12/2024 04:03:54
877,430565E,167233F,24132,02/11/2024 22:32:58,02/11/2024 22:39:09
531,106225E,723715F,12154,01/08/2024 14:21:56,01/08/2024 14:28:14
403,255774F,551157G,40131,23/10/2024 05:29:22,23/10/2024 05:39:28
29,253744G,674433F,25104,20/07/2024 03:31:27,20/07/2024 03:39:39
488,057301F,451041G,2202,04/09/2024 09:49:47,04/09/2024 09:57:53
519,246437G,172522F,35252,21/08/2024 15:24:12,21/08/2024 15:32:09
188,040070F,272522G,54131,11/03/2024 21:58:30,11/03/2024 22:02:33
481,100457F,540703G,20420,06/05/2024 08:33:22,06/05/2024 08:37:06
173,101414F,013656I,15402,04/06/2024 01:52:18,04/06/2024 01:56:57
702,212424F,144402I,40115,22/08/2024 15:05:46,22/08/2024 15:13:57
502,103126I,264675F,22024,04/04/2024 21:57:48,04/04/2024 22:05:23
799,734744E,076206F,21122,16/01/2024 02:22:33,16/01/2024 02:26:08
765,730214E,543672F,45513,11/05/2024 22:27:58,11/05/2024 22:33:01
533,055203E,470462F,40424,12/12/2024 17:02:07,12/12/2024 17:05:39
190,001732E,733140F,53410,23/05/2024 04:48:55,23/05/2024 04:58:53
539,574642I,077005F,34444,13/03/2024 14:16:35,13/03/2024 14:21:06
175,270423E,173363F,52050,03/02/2024 19:35:14,03/02/2024 19:45:02
